timepoint,mean_temp,se_temp,experiment,chamber
exposure-light,26.967672456518216,0.0005676396676143474,experiment 1 ch4,Chamber 4
post-dark,27.063408903602184,0.00014987231505319843,experiment 1 ch4,Chamber 4
pre-dark,26.79925151641432,0.00034884771538765266,experiment 1 ch4,Chamber 4
pre-light,27.017651616027113,0.0005236639112130379,experiment 1 ch4,Chamber 4
exposure-light,27.56817736408261,0.0016965071100867079,experiment 2 4,Chamber 4
post-dark,27.373140370370372,0.0007035777999166991,experiment 2 4,Chamber 4
pre-dark,26.955132688256672,0.0002762521838167919,experiment 2 4,Chamber 4
pre-light,26.933660062002964,0.0028538816958102444,experiment 2 4,Chamber 4
exposure-light,31.101691821569947,0.0037365064303156175,experiment 3 4,Chamber 4
post-dark,25.19587550637746,0.006212836290462494,experiment 3 4,Chamber 4
pre-dark,28.289293178082826,0.002524207538342265,experiment 3 4,Chamber 4
pre-light,29.037711933359162,0.002746814673471864,experiment 3 4,Chamber 4
exposure-light,31.2022753817988,0.002993998593407876,experiment 4 4,Chamber 4
post-dark,27.559838424687364,0.012401286843417606,experiment 4 4,Chamber 4
pre-dark,28.298701830398514,0.0014314326734944057,experiment 4 4,Chamber 4
pre-light,29.772957735886898,0.00394176169973164,experiment 4 4,Chamber 4
exposure-light,31.20764155399148,0.0019667016824515566,experiment 5 4,Chamber 4
post-dark,30.978015925925924,0.0017626693213880298,experiment 5 4,Chamber 4
pre-dark,30.057251805555556,0.0008317246809935642,experiment 5 4,Chamber 4
pre-light,29.236326983721128,0.004805203579386407,experiment 5 4,Chamber 4
exposure-light,31.16618462962963,0.003011133810788034,experiment 6 4,Chamber 4
post-dark,30.37028252314815,0.002297887635019863,experiment 6 4,Chamber 4
pre-dark,29.16042430555556,0.0004884749648103122,experiment 6 4,Chamber 4
pre-light,29.181807579288684,0.005666919486655371,experiment 6 4,Chamber 4
exposure-light,31.268503843126364,0.002207689969636063,experiment 7 4,Chamber 4
post-dark,30.370986990740743,0.0019635379144491167,experiment 7 4,Chamber 4
pre-dark,29.875740740740742,0.0006730676974624691,experiment 7 4,Chamber 4
pre-light,29.29111538311257,0.003088304509558042,experiment 7 4,Chamber 4
exposure-light,30.91293319594313,0.0017777910020319975,experiment 8 4,Chamber 4
post-dark,29.564956689814814,0.005543423515680362,experiment 8 4,Chamber 4
pre-dark,29.099953680555558,0.0008867673675123903,experiment 8 4,Chamber 4
pre-light,29.17170729968099,0.0020255965259458005,experiment 8 4,Chamber 4
exposure-light,31.02238537037037,0.0022088877559275403,experiment 9 4,Chamber 4
post-dark,29.37417476851852,0.001202200368836659,experiment 9 4,Chamber 4
pre-dark,30.051779675925925,0.0008159532834159922,experiment 9 4,Chamber 4
pre-light,29.114780870883884,0.003553513405394743,experiment 9 4,Chamber 4
exposure-light,31.184047638888888,0.0026471566422055577,experiment 10 4,Chamber 4
post-dark,28.80800097222222,0.001996819904940139,experiment 10 4,Chamber 4
pre-dark,29.850120347222223,0.0008538119074999715,experiment 10 4,Chamber 4
pre-light,29.284716715190164,0.003683450700934194,experiment 10 4,Chamber 4
exposure-light,31.073486953904567,0.0019319019936214312,experiment 11 4,Chamber 4
post-dark,30.041881134259256,0.0007702995655833165,experiment 11 4,Chamber 4
pre-dark,28.261226805555552,0.0011819790844151744,experiment 11 4,Chamber 4
pre-light,28.4866497247122,0.002302604170872049,experiment 11 4,Chamber 4
exposure-light,31.21924685185185,0.0023122114296312475,experiment 12 4,Chamber 4
post-dark,29.920492523148148,0.0015664058989790055,experiment 12 4,Chamber 4
pre-dark,28.942311018518517,0.0013599425443048948,experiment 12 4,Chamber 4
pre-light,28.660841518933108,0.0016225575390039,experiment 12 4,Chamber 4
exposure-light,30.987109655316093,0.0027315080862170675,experiment 13 4,Chamber 4
post-dark,29.955527453703706,0.0009910033296938374,experiment 13 4,Chamber 4
pre-dark,28.656638726851853,0.0010514910542995524,experiment 13 4,Chamber 4
pre-light,29.041483786822578,0.0020445819163882133,experiment 13 4,Chamber 4
exposure-light,30.930086228847887,0.0020056068549282784,experiment 14 4,Chamber 4
post-dark,28.832388310185188,0.0022077848352936133,experiment 14 4,Chamber 4
pre-dark,29.60820048611111,0.00040584447289692316,experiment 14 4,Chamber 4
pre-light,29.223390406477467,0.0023913115096498047,experiment 14 4,Chamber 4
exposure-light,30.965364374999996,0.002740231970010954,experiment 15 4,Chamber 4
post-dark,29.22863939814815,0.001276754415863052,experiment 15 4,Chamber 4
pre-dark,29.13536238425926,0.0007494421363963169,experiment 15 4,Chamber 4
pre-light,28.725433181668933,0.0011983189262465394,experiment 15 4,Chamber 4
exposure-light,30.912240075001733,0.004632342523919277,experiment 16 4,Chamber 4
post-dark,29.302417384259257,0.001938240737135422,experiment 16 4,Chamber 4
pre-dark,28.771087060185184,0.0004997887512644393,experiment 16 4,Chamber 4
pre-light,28.724369533578212,0.0018826957759494004,experiment 16 4,Chamber 4
exposure-light,30.931247893518517,0.00276062269352421,experiment 17 4,Chamber 4
post-dark,29.599057152777778,0.0015194481424850833,experiment 17 4,Chamber 4
pre-dark,28.79215465277778,0.0011509844786420165,experiment 17 4,Chamber 4
pre-light,29.683304494257946,0.00170478548697311,experiment 17 4,Chamber 4
exposure-light,31.049592706741603,0.0017637438296878236,experiment 18 4,Chamber 4
post-dark,28.918056183156626,0.0016809450108839694,experiment 18 4,Chamber 4
pre-dark,29.775202601972314,0.00039619675068377293,experiment 18 4,Chamber 4
pre-light,29.04976002587322,0.0023496575567295776,experiment 18 4,Chamber 4
